校名,普通班新生數,特教班新生數,附設幼兒園新生數
太保國小,47,0,14
安東國小,40,0,0
南新國小,123,0,21
新埤國小,28,0,32
朴子國小,97,2,0
大同國小,140,4,76
雙溪國小,8,0,7
竹村國小,8,0,0
松梅國小,13,0,17
大鄉國小,8,0,10
祥和國小,104,0,75
東石國小,15,0,8
東石國小型厝分校,6,0,0
塭港國小,16,0,11
三江國小,6,0,14
龍港國小,11,0,6
下楫國小,13,0,4
港墘國小,8,0,6
龍崗國小,6,0,4
網寮國小,10,0,1
布袋國小,31,0,6
景山國小,7,0,1
景山國小振寮分校,5,0,0
永安國小,4,0,1
過溝國小,15,0,21
貴林國小,3,0,4
新塭國小,20,0,15
新岑國小,8,0,4
好美國小,6,0,5
布新國小,28,0,7
義竹國小,32,1,11
義竹國小頭竹分校,4,0,0
光榮國小,5,0,0
過路國小,4,0,1
和順國小,7,0,3
南興國小,4,0,2
南興國小東華分校,4,0,1
鹿草國小,23,0,0
重寮國小,8,0,0
下潭國小,6,0,8
碧潭國小,2,0,0
竹園國小,8,0,0
後塘國小,12,0,6
水上國小,101,1,0
大崙國小,10,0,0
大崙國小塗溝分校,7,0,0
柳林國小,57,0,24
忠和國小,18,0,7
義興國小,10,0,0
成功國小,9,0,0
北回國小,15,0,0
南靖國小,7,0,0
中埔國小,38,1,15
大有國小,5,0,0
中山國小,6,0,1
頂六國小,18,0,12
和睦國小,84,0,0
和興國小,28,0,0
同仁國小,15,0,0
沄水國小,8,0,0
社口國小,30,0,12
灣潭國小,3,0,0
六腳國小,6,0,10
六腳國小新生分校,2,0,0
蒜頭國小,29,0,0
蒜頭國小潭墘分校,4,0,0
六美國小,13,0,0
灣內國小,8,0,10
更寮國小,2,0,0
北美國小,1,0,0
新港國小,84,0,0
文昌國小,55,0,0
月眉國小,33,0,13
古民國小,5,0,0
復興國小,3,0,0
安和國小,6,0,0
民雄國小,163,0,20
東榮國小,31,0,0
三興國小,19,0,13
菁埔國小,10,0,0
興中國小,88,1,0
秀林國小,36,0,19
松山國小,6,0,0
大崎國小,20,0,0
福樂國小,85,0,18
溪口國小,33,0,0
美林國小,4,0,0
柴林國小,5,0,0
柳溝國小,5,0,0
柳溝國小疊溪分校,10,0,0
大林國小,81,1,0
三和國小,33,0,0
中林國小,10,0,0
排路國小,3,0,0
社團國小,2,0,0
平林國小,55,0,0
梅山國小,30,0,21
梅圳國小,3,0,0
太平國小,7,0,3
太興國小,3,0,0
瑞里國小,2,0,6
大南國小,12,0,3
大南國小安靖分校,5,0,2
瑞峰國小,5,0,5
太和國小,5,0,3
仁和國小,3,0,0
梅北國小,31,0,0
竹崎國小,76,0,0
龍山國小,4,0,5
鹿滿國小,20,0,0
內埔國小,34,0,32
圓崇國小,32,0,0
桃源國小,5,0,0
中和國小,6,0,1
中興國小,6,0,8
光華國小,5,0,3
義仁國小,12,0,0
沙坑國小,4,0,0
民和國小,30,0,0
內甕國小,6,0,0
黎明國小,14,0,8
大湖國小,3,0,2
隙頂國小,6,0,1
大埔國中小國小部,12,0,0
達邦國小,10,0,2
達邦國小里佳分校,2,0,2
十字國小,1,0,0
來吉國小,2,0,0
豐山實驗教育學校,2,0,2
山美國小,8,0,5
新美國小,5,0,0
香林國小,4,0,2
茶山國小,2,0,1
阿里山國中小國小部,10,0,4
