校名,普通班學生數,特教班學生數,附設幼兒園學生數
太保國小,426,0,29
安東國小,258,0,0
南新國小,888,0,59
新埤國小,239,0,56
朴子國小,754,5,0
大同國小,"1,069",10,150
雙溪國小,65,0,29
竹村國小,89,0,0
松梅國小,90,0,28
大鄉國小,92,0,25
祥和國小,699,0,105
東石國小,111,4,30
東石國小型厝分校,64,0,0
塭港國小,101,0,22
三江國小,67,0,14
龍港國小,59,0,14
下楫國小,99,0,14
港墘國小,45,0,17
龍崗國小,54,0,13
網寮國小,53,0,8
布袋國小,214,3,16
景山國小,57,0,6
景山國小振寮分校,36,0,0
永安國小,36,0,9
過溝國小,164,0,40
貴林國小,34,0,10
新塭國小,169,0,43
新岑國小,45,0,9
好美國小,30,0,19
布新國小,184,0,21
義竹國小,274,5,38
義竹國小頭竹分校,42,0,0
光榮國小,42,0,8
過路國小,41,0,10
和順國小,53,0,8
南興國小,39,0,13
南興國小東華分校,39,0,4
鹿草國小,192,0,0
重寮國小,38,0,0
下潭國小,64,0,30
碧潭國小,25,0,0
竹園國小,32,0,0
後塘國小,97,0,17
水上國小,741,10,0
大崙國小,79,0,0
大崙國小塗溝分校,44,0,0
柳林國小,335,0,60
忠和國小,164,0,19
義興國小,58,0,0
成功國小,56,0,0
北回國小,145,0,0
南靖國小,66,0,0
中埔國小,207,3,36
大有國小,24,0,0
中山國小,57,0,0
頂六國小,136,0,17
和睦國小,697,0,26
和興國小,202,0,0
同仁國小,140,0,0
沄水國小,54,0,0
社口國小,228,0,30
灣潭國小,37,0,0
六腳國小,51,0,25
六腳國小新生分校,24,0,7
蒜頭國小,193,4,0
蒜頭國小潭墘分校,31,0,0
六美國小,124,0,0
灣內國小,90,0,37
更寮國小,43,0,0
北美國小,50,0,0
新港國小,700,5,0
文昌國小,401,0,0
月眉國小,196,0,29
古民國小,37,0,0
復興國小,65,0,0
安和國小,43,0,0
民雄國小,"1,003",0,65
東榮國小,315,0,0
三興國小,141,0,24
菁埔國小,65,0,0
興中國小,562,11,0
秀林國小,304,0,55
松山國小,48,0,0
大崎國小,136,0,0
福樂國小,573,0,28
溪口國小,274,0,0
美林國小,41,0,0
柴林國小,52,0,0
柳溝國小,52,0,0
柳溝國小疊溪分校,51,0,0
大林國小,483,5,0
三和國小,235,0,0
中林國小,63,0,0
排路國小,28,0,0
社團國小,37,0,0
平林國小,418,0,0
梅山國小,230,3,59
梅圳國小,42,0,0
太平國小,30,0,12
太興國小,12,0,3
瑞里國小,22,0,12
大南國小,74,0,8
大南國小安靖分校,23,0,6
瑞峰國小,44,0,17
太和國小,34,0,4
仁和國小,13,0,3
梅北國小,210,0,0
竹崎國小,522,0,0
龍山國小,35,0,16
鹿滿國小,135,0,0
內埔國小,230,0,63
圓崇國小,182,8,0
桃源國小,34,0,0
中和國小,28,0,9
中興國小,57,0,21
光華國小,24,0,9
義仁國小,80,0,0
沙坑國小,23,0,0
民和國小,219,0,0
內甕國小,32,0,0
黎明國小,54,0,8
大湖國小,25,0,4
隙頂國小,51,0,14
大埔國中小國小部,65,0,13
達邦國小,41,0,22
達邦國小里佳分校,9,0,6
十字國小,13,0,6
來吉國小,30,0,0
豐山實驗教育學校,21,0,8
山美國小,40,0,12
新美國小,21,0,0
香林國小,22,0,10
茶山國小,24,0,4
阿里山國中小國小部,58,0,22
